#OTU	ID	taxonomy
66	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;malicum
67	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;paludosum
68	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;tundrae
69	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;wieringae
70	1.0	NA;NA;NA;NA;NA;NA
71	1.0	Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Acetobacteroides;hydrogenigenes
72	1.0	Bacteroidota;Bacteroidia;Bacteroidales;NA;NA;NA
73	1.0	NA;NA;NA;NA;NA;NA
74	1.0	Synergistota;Synergistia;Synergistales;Acetomicrobiaceae;Acetomicrobium;flavidum
75	1.0	Synergistota;Synergistia;Synergistales;Acetomicrobiaceae;Acetomicrobium;hydrogeniformans
76	1.0	Synergistota;Synergistia;Synergistales;Acetomicrobiaceae;Acetomicrobium;mobile
77	1.0	Synergistota;Synergistia;Synergistales;Acetomicrobiaceae;Acetomicrobium;thermoterrenum
78	1.0	NA;NA;NA;NA;NA;NA
79	1.0	Bacteroidota;Bacteroidia;Bacteroidales;NA;NA;NA
80	1.0	NA;NA;NA;NA;NA;NA
81	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Paracholeplasma;brassicae
82	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Haploplasma;cavigenitalium
83	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;equifetale
84	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;equirhinis
85	1.0	NA;NA;NA;NA;NA;NA
86	1.0	NA;NA;NA;NA;NA;NA
87	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;laidlawii
88	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Haploplasma;modicum
89	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Paracholeplasma;morum
90	1.0	Mycoplasmatota;Mollicutes;Entomoplasmatales;Entomoplasmataceae;Entomoplasma;multilocale
91	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;oculi
92	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Alteracholeplasma;palmae
93	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Alteracholeplasma;parvum
94	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;pleciae
95	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Paracholeplasma;vituli
96	1.0	NA;NA;NA;NA;NA;NA
97	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;aegrifaciens
98	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;aestuarii
99	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;agilis
100	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;aloeverae
