"tip_label","tip_node","parent_node","child_node"
"2519899697",7,3834,3835
"2519899697",7,3833,3834
"2519899697",7,3832,3833
"2519899697",7,3831,3832
"2519899697",7,3830,3831
"2519899697",7,3829,3830
"2519899697",7,3828,3829
"2519899697",7,3827,3828
"2519899697",7,3826,3827
"2519899697",7,3825,3826
"2519899697",7,3824,3825
"2519899697",7,3823,3824
"2561511076",8,3860,8
"2561511076",8,3853,3860
"2561511076",8,3852,3853
"2561511076",8,3851,3852
"2561511076",8,3850,3851
"2561511076",8,3849,3850
"2561511076",8,3848,3849
"2561511076",8,3847,3848
"2561511076",8,3846,3847
"2561511076",8,3845,3846
"2561511076",8,3844,3845
"2561511076",8,3843,3844
"2561511076",8,3842,3843
"2561511076",8,3841,3842
"2561511076",8,3840,3841
"2561511076",8,3839,3840
"2561511076",8,3838,3839
"2561511076",8,3837,3838
"2561511076",8,3836,3837
"2561511076",8,3835,3836
"2561511076",8,3834,3835
"2561511076",8,3833,3834
"2561511076",8,3832,3833
"2561511076",8,3831,3832
"2561511076",8,3830,3831
"2561511076",8,3829,3830
"2561511076",8,3828,3829
"2561511076",8,3827,3828
"2561511076",8,3826,3827
"2561511076",8,3825,3826
"2561511076",8,3824,3825
"2561511076",8,3823,3824
"2558309109",9,3860,9
"2558309109",9,3853,3860
"2558309109",9,3852,3853
"2558309109",9,3851,3852
"2558309109",9,3850,3851
"2558309109",9,3849,3850
"2558309109",9,3848,3849
"2558309109",9,3847,3848
"2558309109",9,3846,3847
"2558309109",9,3845,3846
"2558309109",9,3844,3845
"2558309109",9,3843,3844
"2558309109",9,3842,3843
"2558309109",9,3841,3842
"2558309109",9,3840,3841
"2558309109",9,3839,3840
"2558309109",9,3838,3839
"2558309109",9,3837,3838
"2558309109",9,3836,3837
"2558309109",9,3835,3836
"2558309109",9,3834,3835
"2558309109",9,3833,3834
"2558309109",9,3832,3833
"2558309109",9,3831,3832
"2558309109",9,3830,3831
"2558309109",9,3829,3830
"2558309109",9,3828,3829
"2558309109",9,3827,3828
"2558309109",9,3826,3827
"2558309109",9,3825,3826
"2558309109",9,3824,3825
"2558309109",9,3823,3824
"2556921632",10,3862,10
"2556921632",10,3861,3862
"2556921632",10,3852,3861
"2556921632",10,3851,3852
"2556921632",10,3850,3851
"2556921632",10,3849,3850
"2556921632",10,3848,3849
"2556921632",10,3847,3848
"2556921632",10,3846,3847
"2556921632",10,3845,3846
"2556921632",10,3844,3845
"2556921632",10,3843,3844
"2556921632",10,3842,3843
"2556921632",10,3841,3842
"2556921632",10,3840,3841
"2556921632",10,3839,3840
"2556921632",10,3838,3839
"2556921632",10,3837,3838
"2556921632",10,3836,3837
"2556921632",10,3835,3836
"2556921632",10,3834,3835
"2556921632",10,3833,3834
"2556921632",10,3832,3833
"2556921632",10,3831,3832
"2556921632",10,3830,3831
"2556921632",10,3829,3830
"2556921632",10,3828,3829
"2556921632",10,3827,3828
"2556921632",10,3826,3827
"2556921632",10,3825,3826
"2556921632",10,3824,3825
"2556921632",10,3823,3824
"2561511095",11,3866,11
"2561511095",11,3865,3866
"2561511095",11,3864,3865
"2561511095",11,3863,3864
"2561511095",11,3862,3863
"2561511095",11,3861,3862
"2561511095",11,3852,3861
"2561511095",11,3851,3852
"2561511095",11,3850,3851
"2561511095",11,3849,3850
"2561511095",11,3848,3849
"2561511095",11,3847,3848
"2561511095",11,3846,3847
"2561511095",11,3845,3846
"2561511095",11,3844,3845
"2561511095",11,3843,3844
